"UniqueCarrier" "Origin" "Dest" "Month" "DayOfWeek" "hour" "prop_30" "prop_60" "prop_80" "Time_Delay"
"66" "WN" "DAL" "HOU" 5 5 18 0.264044943820225 0.112359550561798 0 178
"67" "WN" "HOU" "DAL" 12 4 19 0.263803680981595 0.0736196319018405 0 163
"68" "UA" "SFO" "LAX" 10 5 15 0.263157894736842 0.125 0.00657894736842105 152
"69" "WN" "HOU" "DAL" 5 4 17 0.263157894736842 0.118421052631579 0.0131578947368421 228
"70" "UA" "LAX" "SFO" 10 5 17 0.26219512195122 0.128048780487805 0.0121951219512195 164
"71" "WN" "DAL" "HOU" 5 5 19 0.261904761904762 0.0773809523809524 0.0238095238095238 168
"72" "UA" "LAX" "SFO" 12 6 11 0.261437908496732 0.130718954248366 0 153
"73" "WN" "HOU" "DAL" 4 5 20 0.261437908496732 0.124183006535948 0.0130718954248366 153
"74" "WN" "HOU" "DAL" 10 5 18 0.261111111111111 0.111111111111111 0.0111111111111111 180
"75" "WN" "DAL" "HOU" 10 5 19 0.260115606936416 0.0809248554913295 0.0115606936416185 173
"76" "UA" "LAX" "SFO" 12 2 11 0.259493670886076 0.0822784810126582 0.00632911392405063 158
"77" "AA" "ORD" "EWR" 1 3 0 0.258278145695364 0.165562913907285 0.0132450331125828 151
"78" "AA" "ORD" "LGA" 7 7 20 0.258064516129032 0.12258064516129 0.0193548387096774 155
"79" "UA" "LAX" "SFO" 10 5 15 0.258064516129032 0.12258064516129 0.0129032258064516 155
"80" "WN" "HOU" "DAL" 6 7 20 0.256410256410256 0.102564102564103 0.00641025641025641 156
"81" "WN" "HOU" "DAL" 6 4 19 0.25625 0.08125 0 160
"82" "WN" "DAL" "HOU" 10 7 20 0.255952380952381 0.0892857142857143 0.00595238095238095 168
"83" "UA" "SFO" "LAX" 1 3 18 0.254777070063694 0.146496815286624 0.0127388535031847 157
"84" "WN" "DAL" "HOU" 6 4 20 0.254777070063694 0.146496815286624 0.0191082802547771 157
"85" "WN" "DAL" "HOU" 8 7 19 0.254545454545455 0.115151515151515 0 165
"86" "WN" "HOU" "DAL" 3 5 19 0.254437869822485 0.124260355029586 0.0177514792899408 169
"87" "WN" "HOU" "DAL" 4 5 17 0.253393665158371 0.126696832579186 0.0226244343891403 221
"88" "UA" "LAX" "SFO" 11 3 11 0.253333333333333 0.1 0 150
"89" "UA" "LAX" "SFO" 8 6 11 0.253246753246753 0.0649350649350649 0 154
"90" "WN" "DAL" "HOU" 11 5 19 0.251655629139073 0.0463576158940397 0 151
"91" "WN" "DAL" "HOU" 1 5 19 0.251572327044025 0.0188679245283019 0 159
"92" "WN" "HOU" "DAL" 8 5 19 0.251533742331288 0.0920245398773006 0 163
"93" "WN" "DAL" "HOU" 3 5 19 0.251461988304094 0.0409356725146199 0.0116959064327485 171
"94" "WN" "DAL" "HOU" 10 5 17 0.251046025104602 0.0627615062761506 0 239
"95" "WN" "HOU" "DAL" 1 5 19 0.25 0.0769230769230769 0 156
"96" "WN" "HOU" "DAL" 10 4 19 0.25 0.0872093023255814 0.0116279069767442 172
"97" "UA" "SFO" "LAX" 10 5 18 0.248618784530387 0.121546961325967 0 181
"98" "WN" "DAL" "HOU" 7 7 20 0.248407643312102 0.089171974522293 0.0127388535031847 157
"99" "UA" "LAX" "SFO" 11 7 11 0.248366013071895 0.124183006535948 0 153
"100" "WN" "DAL" "HOU" 6 7 18 0.247191011235955 0.101123595505618 0.0112359550561798 178
"101" "WN" "DAL" "HOU" 6 7 19 0.246835443037975 0.107594936708861 0 158
"102" "WN" "HOU" "DAL" 6 4 20 0.246753246753247 0.103896103896104 0 154
"103" "WN" "DAL" "HOU" 4 4 20 0.246666666666667 0.1 0.0133333333333333 150
"104" "AA" "ORD" "LAX" 12 3 0 0.245810055865922 0.139664804469274 0.0167597765363128 179
"105" "WN" "HOU" "DAL" 7 4 19 0.245398773006135 0.134969325153374 0.00613496932515337 163
"106" "WN" "HOU" "DAL" 6 7 19 0.245283018867925 0.0880503144654088 0.0125786163522013 159
"107" "WN" "DAL" "HOU" 2 4 19 0.245161290322581 0.0451612903225806 0 155
"108" "WN" "DAL" "HOU" 7 5 20 0.245033112582781 0.0463576158940397 0 151
"109" "WN" "HOU" "DAL" 9 5 20 0.243589743589744 0.0512820512820513 0 156
"110" "WN" "HOU" "DAL" 6 5 21 0.243421052631579 0.0657894736842105 0.00657894736842105 152
"111" "AA" "DFW" "LAX" 12 5 0 0.242268041237113 0.11340206185567 0.0103092783505155 194
"112" "WN" "DAL" "HOU" 6 4 19 0.242236024844721 0.0993788819875776 0.0062111801242236 161
"113" "WN" "HOU" "DAL" 6 4 17 0.241228070175439 0.105263157894737 0.0175438596491228 228
